Year,Team,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1986,Dallas Mavericks,102.2,112.1,111.0,1.1,0.562,0.508,13.0,30.0,0.201
1986,Detroit Pistons,104.2,109.0,107.9,1.1,0.534,0.496,14.9,33.5,0.266
1986,Portland Trail Blazers,104.5,109.2,108.2,1.0,0.554,0.507,16.4,32.8,0.275
1986,Seattle SuperSonics,97.4,105.9,106.0,-0.1,0.53,0.492,15.7,33.2,0.282
1986,Utah Jazz,103.3,104.2,104.6,-0.4,0.536,0.477,15.4,29.8,0.258
1986,San Antonio Spurs,103.8,106.5,108.2,-1.7,0.555,0.499,15.2,31.7,0.26
1986,Washington Bullets,99.1,103.0,104.8,-1.8,0.518,0.472,14.2,29.1,0.224
1986,New Jersey Nets,103.3,105.0,106.9,-1.9,0.536,0.499,15.5,33.3,0.282
1986,Cleveland Cavaliers,101.6,105.5,108.3,-2.8,0.535,0.48,13.6,30.3,0.292
1986,Phoenix Suns,104.8,104.3,107.2,-2.9,0.552,0.495,15.1,31.3,0.279
1986,Sacramento Kings,102.0,106.2,109.2,-3.0,0.541,0.499,14.4,32.7,0.273
1986,Indiana Pacers,100.9,102.6,105.9,-3.3,0.525,0.479,13.7,31.5,0.277
1986,Golden State Warriors,104.2,108.3,111.6,-3.3,0.536,0.524,14.9,33.5,0.241
1986,Chicago Bulls,99.7,108.6,112.4,-3.8,0.538,0.509,13.5,35.1,0.28
1986,New York Knicks,98.6,99.5,105.2,-5.7,0.505,0.484,17.1,29.5,0.315
1986,Los Angeles Clippers,102.7,105.4,112.1,-6.7,0.534,0.512,14.0,32.0,0.225
1987,Los Angeles Lakers,101.6,115.6,106.5,9.1,0.577,0.476,13.8,34.1,0.23
1987,Atlanta Hawks,97.4,112.6,105.2,7.4,0.543,0.46,13.9,37.2,0.284
1987,Boston Celtics,98.6,113.5,106.8,6.7,0.577,0.471,12.0,29.0,0.217
1987,Dallas Mavericks,100.5,114.9,108.7,6.2,0.558,0.486,13.5,33.8,0.233
1987,Milwaukee Bucks,100.3,109.5,105.6,3.9,0.539,0.479,16.0,31.1,0.307
1987,Detroit Pistons,101.0,109.2,105.8,3.4,0.544,0.471,13.3,34.7,0.267
1987,Portland Trail Blazers,105.0,111.5,108.6,2.9,0.566,0.493,14.8,34.1,0.265
1987,Houston Rockets,99.9,106.5,105.5,1.0,0.528,0.47,14.1,33.5,0.261
1987,Chicago Bulls,95.8,108.6,107.6,1.0,0.528,0.491,13.8,35.0,0.251
1987,Utah Jazz,103.2,104.1,103.7,0.4,0.516,0.466,15.7,31.2,0.269
1987,Seattle SuperSonics,101.8,110.7,110.3,0.4,0.543,0.486,13.5,37.6,0.296
1987,Philadelphia 76ers,97.3,108.3,108.5,-0.2,0.549,0.499,14.5,34.9,0.215
1987,Indiana Pacers,98.8,106.0,106.6,-0.6,0.525,0.487,14.9,30.5,0.281
1987,Denver Nuggets,106.2,109.3,110.2,-0.9,0.527,0.503,15.4,32.2,0.307
1987,Washington Bullets,100.2,105.7,107.0,-1.3,0.511,0.48,14.6,34.5,0.222
1987,Golden State Warriors,101.7,108.9,111.2,-2.3,0.539,0.503,14.2,32.5,0.272
1987,Phoenix Suns,102.0,108.0,110.4,-2.4,0.55,0.502,14.4,32.1,0.265
1987,Sacramento Kings,101.3,108.9,112.1,-3.2,0.535,0.498,12.4,35.2,0.257
1987,Cleveland Cavaliers,101.3,102.6,106.4,-3.8,0.519,0.484,14.2,34.4,0.224
1987,New Jersey Nets,101.8,105.6,110.5,-4.9,0.54,0.488,13.8,33.2,0.33
