Year,Team,TS%,eFG%,FT/FGA,ORtg
1991,Washington Bullets,0.509,0.478,0.242,103.0
1991,Charlotte Hornets,0.526,0.504,0.272,105.0
1991,Miami Heat,0.512,0.491,0.286,102.0
1991,Sacramento Kings,0.512,0.481,0.306,102.0
1991,Denver Nuggets,0.498,0.524,0.299,105.2
1992,Chicago Bulls*,0.556,0.476,0.219,115.5
1992,Portland Trail Blazers*,0.541,0.471,0.251,111.4
1992,Utah Jazz*,0.557,0.475,0.214,112.2
1992,Phoenix Suns*,0.556,0.471,0.223,112.1
1992,Cleveland Cavaliers*,0.557,0.483,0.174,113.9
1992,New York Knicks*,0.531,0.471,0.248,108.3
1992,Boston Celtics*,0.544,0.469,0.22,110.8
1992,Golden State Warriors*,0.568,0.499,0.256,113.6
1992,San Antonio Spurs*,0.528,0.469,0.224,107.5
1992,Detroit Pistons*,0.52,0.468,0.204,107.5
1992,Seattle SuperSonics*,0.538,0.491,0.269,110.7
1992,Indiana Pacers*,0.566,0.483,0.27,111.7
1992,Los Angeles Clippers*,0.524,0.475,0.244,105.8
1992,Los Angeles Lakers*,0.516,0.493,0.187,107.7
1992,Philadelphia 76ers,0.539,0.496,0.192,108.3
1992,Atlanta Hawks,0.519,0.497,0.209,107.3
1992,New Jersey Nets*,0.51,0.488,0.247,107.0
1992,Houston Rockets,0.537,0.477,0.209,106.2
1992,Milwaukee Bucks,0.529,0.514,0.237,108.8
1992,Charlotte Hornets,0.527,0.51,0.222,107.1
1992,Miami Heat*,0.532,0.508,0.235,106.7
1992,Washington Bullets,0.514,0.493,0.235,103.9
1992,Sacramento Kings,0.525,0.493,0.233,103.9
1992,Orlando Magic,0.514,0.502,0.26,103.5
1992,Minnesota Timberwolves,0.505,0.497,0.244,105.0
1992,Denver Nuggets,0.493,0.494,0.279,100.7
1992,Dallas Mavericks,0.501,0.483,0.259,103.0
1993,Seattle SuperSonics*,0.546,0.489,0.26,112.3
1993,Chicago Bulls*,0.535,0.493,0.239,112.9
1993,Cleveland Cavaliers*,0.565,0.482,0.185,112.7
1993,Phoenix Suns*,0.566,0.496,0.206,113.3
1993,New York Knicks*,0.526,0.444,0.294,106.1
1993,Houston Rockets*,0.557,0.474,0.201,109.6
1993,Portland Trail Blazers*,0.526,0.488,0.237,108.3
1993,San Antonio Spurs*,0.555,0.477,0.221,109.6
1993,Utah Jazz*,0.55,0.487,0.25,109.6
1993,Indiana Pacers*,0.547,0.485,0.281,111.9
1993,Orlando Magic,0.554,0.473,0.232,108.5
1993,New Jersey Nets*,0.522,0.48,0.24,106.5
1993,Boston Celtics*,0.536,0.479,0.251,108.7
1993,Los Angeles Clippers*,0.53,0.489,0.263,107.4
1993,Charlotte Hornets*,0.547,0.487,0.201,109.5
1993,Atlanta Hawks*,0.534,0.516,0.224,109.3
1993,Golden State Warriors,0.543,0.501,0.261,109.2
1993,Miami Heat,0.535,0.495,0.274,107.7
1993,Los Angeles Lakers*,0.534,0.5,0.215,107.6
1993,Detroit Pistons,0.511,0.5,0.212,107.4
1993,Denver Nuggets,0.518,0.476,0.263,104.6
1993,Sacramento Kings,0.53,0.502,0.292,106.5
1993,Milwaukee Bucks,0.535,0.502,0.266,106.2
1993,Philadelphia 76ers,0.53,0.504,0.188,104.6
1993,Washington Bullets,0.523,0.51,0.219,103.6
1993,Minnesota Timberwolves,0.535,0.503,0.269,103.6
1993,Dallas Mavericks,0.495,0.519,0.347,99.5
1994,Seattle SuperSonics*,0.547,0.479,0.272,111.1
